Código;Descripción;Unidad;Sub Grupo;Grupo
2597;TUBO TAPA LILA 1 ML VACUETTE CAJA X 100 UN ;CAJA;LABORATORIO;MEDICOQUIRURGICOS
1614;TUBO TAPA LILA 2 ML VACUETTE;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
1699;TUBO TAPA LILA 3 ML VACUETTE;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
1705;TUBO TAPA LILA 3 ML VACUTAINER BD;UNIDAD;LABORATORIO;MEDICOQUIRURGICOS
1552;TUBO TAPA LILA 4 ML VACUTAINER BD;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
1355;TUBO TAPA LILA 4.0 ML IMPROVE;UNIDAD;LABORATORIO;MEDICOQUIRURGICOS
1704;TUBO TAPA ROJA 3 ML VACUTAINER BD;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
1478;TUBO TAPA ROJA 4 ML VACUETTE;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
1615;TUBO TAPA ROJA 5.0 ML IMPROVE;UNIDAD;LABORATORIO;MEDICOQUIRURGICOS
1397;TUBO TAPA ROJA 6 ML VACUETTE;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
